url,label
https://google.com,benign
https://example.com,benign
https://wikipedia.org,benign
https://youtube.com,benign
https://paypal.com,benign
https://microsoft.com,benign
https://apple.com,benign
https://github.com,benign
https://linkedin.com,benign
https://amazon.com,benign
https://paypal-login-security.example.net/verify/account,phishing
http://192.168.1.1/login.php,phishing
http://example.net/verify/account/password,phishing
http://secure-account-update.example.org/login,phishing
http://login-paypal.example.com/confirm,phishing
http://xn--paypa1-5ve.example.net/verify,phishing
http://account-security.example.org/reset/password,phishing
http://198.51.100.23/bank/login.php,phishing
http://wallet-auth.example.net/secure/confirm,phishing
http://signin-verification.example.org/account/update,phishing
